No;URL;Tanggal_up;Bujur;Lintang;Kecamatan;;;;;;;;;;;;;;;;
1;https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023;2023-01-12;110,61;-8,13;Tanjungsari;;;;;;;;;;;;;;;;
2;https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023;2023-01-15;110,42;7,83;Piyungan;;;;;;;;;;;;;;;;
1;https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023;2023-02-07;110,3047;7,8014;Gondomanan;;;;;;;;;;;;;;;;
;https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023;2023-02-25;110,324;-7,821;Kasihan;;;;;;;;;;;;;;;;
2;https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023;2023-03-24;110,359;-7,783;Jetis;;;;;;;;;;;;;;;;
;https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023;2023-04-16;110,456;-7,779;Berbah;;;;;;;;;;;;;;;;
;https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023;2023-05-03;110,326;-7,887;Bantul;;;;;;;;;;;;;;;;
;https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023;2023-05-07;110,332;-7,86;Sewon;;;;;;;;;;;;;;;;
;https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023;2023-05-20;110,387;-7,914;Imogiri;;;;;;;;;;;;;;;;
3;https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023;2023-05-27;110,369;-7,8;Gondomanan;;;;;;;;;;;;;;;;
;https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023;2023-08-13;110,308;-7,72;Seyegan;;;;;;;;;;;;;;;;
4;https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023;2023-10-01;110,352;-7,812;Mantrijeron;;;;;;;;;;;;;;;;
;https://newsmaker.tribunnews.com/2023/11/01/update-kasus-klitih-di-karanganyar-5-tersangka-masih-anak-anak-polisi-sebut-pelaku-bisa-bertambah;2023-10-21;111,13;-7,62;Karangpandan;;;;;;;;;;;;;;;;
;https://twitter.com/chocohzelnutt/status/1345401904914784256;2021-01-01;110.375;-7.865;Banguntapan;;;;;;;;;;;;;;;;
;https://twitter.com/DennyPriyono/status/1345506728310280192;2021-01-01;110.307;-7.728;Sleman;;;;;;;;;;;;;;;;
;https://twitter.com/mystingray91/status/1345885972454461440;2021-01-03;110.307;-7.728;Sleman;;;;;;;;;;;;;;;;
;https://twitter.com/nisfiani16/status/1346463231586406401;2021-01-04;110.215;-7.760;Minggir;;;;;;;;;;;;;;;;
5;7 Kawasan di Jogja yang Pernah Terjadi Klitih, Nomor 7 Malah di Pusat Keramaian;2022-04-03;110,4019;-7,8094;Umbulharjo;;;;;;;;;;;;;;;;
;;2022-01-12;;;;;;;;;;;;;;;;;;;
6;7 Kawasan di Jogja yang Pernah Terjadi Klitih, Nomor 7 Malah di Pusat Keramaian;2022-01-12;110,3726;-7,8034;Pakualaman;;;;;;;;;;;;;;;;
7;Daftar Lengkap Aksi Klitih di Jogja Sepanjang 2022, Warga Cari Obat dan Sahur Jadi Korban Kekerasan - ERA.ID;2022-01-01;110,3759;-7,7898;Danurejan;;;;;;;;;;;;;;;;
8;Daftar Lengkap Aksi Klitih di Jogja Sepanjang 2022, Warga Cari Obat dan Sahur Jadi Korban Kekerasan - ERA.ID;2022-01-28;110,3677;-7,7757;Jetis;;;;;;;;;;;;;;;;
9;Daftar Lengkap Aksi Klitih di Jogja Sepanjang 2022, Warga Cari Obat dan Sahur Jadi Korban Kekerasan - ERA.ID;2022-02-08;110,3738;-7,8176;Mergangsan;;;;;;;;;;;;;;;;
10;Daftar Lengkap Aksi Klitih di Jogja Sepanjang 2022, Warga Cari Obat dan Sahur Jadi Korban Kekerasan - ERA.ID;2022-02-20;110,3672;-7,7836;Jetis;;;;;;;;;;;;;;;;
11;7 Kawasan di Jogja yang Pernah Terjadi Klitih, Nomor 7 Malah di Pusat Keramaian;2021-10-31;110,4088;-7,7827;Danurejan;;;;;;;;;;;;;;;;
12;Baca Jogja – Aksi Brutal Geng Klitih di Kota Yogyakarta, Satu Korban Meninggal;2021-07-31;110,3644;-7,7798;Jetis;;;;;;;;;;;;;;;;
13;Baca Jogja – Polres Sleman Tangkap Enam Pelaku Klitih Jalan Kaliurang;2021-12-27;110,3895;-7,7285;Ngaglik;;;;;;;;;;;;;;;;
14;Harian Jogja – Tawuran Pecah di Jalan Kaliurang, Satu Korban Dibacok;2021-12-27;110,3895;-7,7285;Ngaglik;;;;;;;;;;;;;;;;
15;iNews Yogya – Polres Sleman Tangkap 6 Pelaku Klitih di Jalan Kaliurang;2021-12-28;110,3928;-7,7209;Ngaglik;;;;;;;;;;;;;;;;
16;JPNN Jogja – Pelaku Klitih Jalan Kaliurang Diringkus Polisi;2021-12-28;110,3895;-7,7285;Ngaglik;;;;;;;;;;;;;;;;
17;Inilah Jogja – Kekejaman Klitih di Jalan Kaliurang;2021-12-29;110,3895;-7,7285;Ngaglik;;;;;;;;;;;;;;;;
18;https://borobudurnews.com/fakta-terbaru-kasus-klitih-jogja-tewaskan-bocah-14-tahun-polisi-temukan-celurit-dan-gir/;2021-07-31;110.36651072144824;-7.778128990804081;Jetis;;;;;;;;;;;;;;;;
20;https://borobudurnews.com/pulang-kerja-pemuda-di-jogja-dibacok-rombongan-diduga-klitih/;2021-08-26;110.3297268;-7.835412;Umbulharjo;;;;;;;;;;;;;;;;
21;https://www.kompas.id/artikel/pulang-main-gim-tiga-pemuda-jadi-korban-klitih-di-yogyakarta;2021-01-20;110.3880675;-7.819137;Umbulharjo;;;;;;;;;;;;;;;;
22;https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/4;2021-01-01;110.3500539;-7.8028914;Wirobrajan;;;;;;;;;;;;;;;;
23;https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/5;2021-01-08;110.3619767;-7.8199858;Mantrijeron;;;;;;;;;;;;;;;;
24;https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/6;2021-01-26;110.3500539;-7.8028914;Wirobrajan;;;;;;;;;;;;;;;;
25;https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/8;2021-04-14;110.3770867;-7.8178415;Kotagede;;;;;;;;;;;;;;;;
26;https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/9;2021-05-27;110.3622107;-7.786428;Gondokusuman;;;;;;;;;;;;;;;;
27;https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/10;2021-10-14;110.3747535;-7.8111652;Umbulharjo;;;;;;;;;;;;;;;;
28;https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/11;2021-08-05;110.3571386;-7.8020894;Gondomanan;;;;;;;;;;;;;;;;
29;https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/12;2021-07-31;110.3530417;-7.7816014;Jetis;;;;;;;;;;;;;;;;
30;https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/13;2021-11-21;110.3537647;-7.8143171;Mergangsan;;;;;;;;;;;;;;;;
31;https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/14;2021-10-30;110.3454656;-7.8152551;Umbulharjo;;;;;;;;;;;;;;;;
32;https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/15;2021-11-28;110.3385292;-7.7804175;Tegalrejo;;;;;;;;;;;;;;;;
33;https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/16;2021-11-06;110.3619767;-7.8199858;Mantrijeron;;;;;;;;;;;;;;;;
34;https://www.espos.id/tag/polsek-umbulharjo;2021-08-26;110.3454656;-7.8152551;Umbulharjo;;;;;;;;;;;;;;;;
35;https://jogja.idntimes.com/news/jogja/tunggul-damarjati/pelaku-klitih-tewaskan-pelajar-ngaku-korban-salah-tangkap?utm_source=chatgpt.com;2022-6-28;110.3995595;-7.8113361;Gedongkuning, Kotagede;;;;;;;;;;;;;;;;
