id,nama_lokasi,kabupaten_kota,kategori,latitude,longitude
1,Universitas Muhammadiyah Yogyakarta,Kabupaten Bantul,Kampus dan sekolah,-7.8098455,110.3218608
2,Institut Seni Indonesia Yogyakarta,Kabupaten Bantul,Kampus dan sekolah,-7.8507711,110.3567486
3,Universitas Ahmad Dahlan Kampus 4,Kabupaten Bantul,Kampus dan sekolah,-7.8328242,110.3832271
4,SMA Negeri 1 Bantul,Kabupaten Bantul,Kampus dan sekolah,-7.8961578,110.3228892
5,SMA Negeri 1 Kasihan,Kabupaten Bantul,Kampus dan sekolah,-7.818078,110.3493516
6,SMA Negeri 1 Wonosari,Kabupaten Gunungkidul,Kampus dan sekolah,-7.9648835,110.5991408
7,Universitas Gunungkidul,Kabupaten Gunungkidul,Kampus dan sekolah,-7.9531495,110.5897172
8,Universitas Negeri Yogyakarta Kampus Wates,Kabupaten Kulon Progo,Kampus dan sekolah,-7.8542051,110.1642989
9,SMA Negeri 1 Wates,Kabupaten Kulon Progo,Kampus dan sekolah,-7.8545896,110.158352
10,Universitas Gadjah Mada,Kabupaten Sleman,Kampus dan sekolah,-7.7714,110.3775
11,Universitas Negeri Yogyakarta,Kabupaten Sleman,Kampus dan sekolah,-7.7751,110.3863
12,UIN Sunan Kalijaga Yogyakarta,Kabupaten Sleman,Kampus dan sekolah,-7.7843,110.3942
13,Universitas Sanata Dharma Mrican,Kabupaten Sleman,Kampus dan sekolah,-7.7755,110.3905
14,Universitas Islam Indonesia Kampus Terpadu,Kabupaten Sleman,Kampus dan sekolah,-7.6874,110.4146
15,Universitas Amikom Yogyakarta,Kabupaten Sleman,Kampus dan sekolah,-7.7598,110.4087
16,UPN Veteran Yogyakarta,Kabupaten Sleman,Kampus dan sekolah,-7.7623,110.4104
17,Institut Pertanian Stiper Yogyakarta,Kabupaten Sleman,Kampus dan sekolah,-7.7611296,110.4245755
18,SMA Negeri 1 Sleman,Kabupaten Sleman,Kampus dan sekolah,-7.6830898,110.3393022
19,SMA Negeri 1 Depok Sleman,Kabupaten Sleman,Kampus dan sekolah,-7.7736914,110.4127918
20,SMA Negeri 1 Yogyakarta,Kota Yogyakarta,Kampus dan sekolah,-7.7996758,110.3525385
21,SMA Negeri 3 Yogyakarta,Kota Yogyakarta,Kampus dan sekolah,-7.7860815,110.3736531
22,SMA Negeri 8 Yogyakarta,Kota Yogyakarta,Kampus dan sekolah,-7.8001524,110.3953743
23,Universitas Ahmad Dahlan Kampus 1,Kota Yogyakarta,Kampus dan sekolah,-7.7984202,110.3828464
24,Universitas Ahmad Dahlan Kampus 2,Kota Yogyakarta,Kampus dan sekolah,-7.8197338,110.3879748
25,Universitas Ahmad Dahlan Kampus 3,Kota Yogyakarta,Kampus dan sekolah,-7.8078904,110.389486
26,Universitas Ahmad Dahlan Kampus 5,Kota Yogyakarta,Kampus dan sekolah,-7.8261812,110.3800473
27,Pasar Bantul,Kabupaten Bantul,Pasar,-7.8846435,110.3303246
28,Pasar Imogiri,Kabupaten Bantul,Pasar,-7.8352842,110.4708975
29,Pasar Piyungan,Kabupaten Bantul,Pasar,-7.8357519,110.4706829
30,Pasar Niten,Kabupaten Bantul,Pasar,-7.8394549,110.3499869
31,Pasar Argosari Wonosari,Kabupaten Gunungkidul,Pasar,-7.9673256,110.6025232
32,Pasar Playen,Kabupaten Gunungkidul,Pasar,-7.9418235,110.5500142
33,Pasar Semin,Kabupaten Gunungkidul,Pasar,-7.8653957,110.7359855
34,Pasar Karangmojo,Kabupaten Gunungkidul,Pasar,-7.9525256,110.6785373
35,Pasar Wates,Kabupaten Kulon Progo,Pasar,-7.8605502,110.1585469
36,Pasar Sentolo,Kabupaten Kulon Progo,Pasar,-7.8462055,110.2188013
37,Pasar Bendungan,Kabupaten Kulon Progo,Pasar,-7.8927664,110.1432605
38,Pasar Dekso,Kabupaten Kulon Progo,Pasar,-7.714797,110.2264314
39,Pasar Sleman,Kabupaten Sleman,Pasar,-7.7008613,110.3467817
40,Pasar Godean,Kabupaten Sleman,Pasar,-7.7661835,110.2908742
41,Pasar Pakem,Kabupaten Sleman,Pasar,-7.6648073,110.419825
42,Pasar Prambanan,Kabupaten Sleman,Pasar,-7.7568102,110.4891599
43,Pasar Condongcatur,Kabupaten Sleman,Pasar,-7.759685,110.4071788
44,Pasar Ngijon,Kabupaten Sleman,Pasar,-7.7583446,110.2519125
45,Pasar Beringharjo,Kota Yogyakarta,Pasar,-7.7986,110.3672
46,Pasar Kranggan,Kota Yogyakarta,Pasar,-7.7826,110.3665
47,Pasar Demangan,Kota Yogyakarta,Pasar,-7.7809309,110.3885432
48,Pasar Sentul Yogyakarta,Kota Yogyakarta,Pasar,-7.801754,110.3772954
49,Pasar Prawirotaman,Kota Yogyakarta,Pasar,-7.819936,110.3681618
50,Pasar Seni Gabusan,Kabupaten Bantul,Pasar/pusat seni,-7.8766667,110.3499796
51,Plaza Ambarrukmo,Kabupaten Sleman,Pusat perbelanjaan (mall),-7.7827,110.4016
52,Pakuwon Mall Jogja,Kabupaten Sleman,Pusat perbelanjaan (mall),-7.7582,110.399
53,Jogja City Mall,Kabupaten Sleman,Pusat perbelanjaan (mall),-7.7531628,110.3605803
54,Sleman City Hall,Kabupaten Sleman,Pusat perbelanjaan (mall),-7.719943,110.3618986
55,Sahid J-Walk,Kabupaten Sleman,Pusat perbelanjaan (mall),-7.7792474,110.4143622
56,Transmart Maguwo,Kabupaten Sleman,Pusat perbelanjaan (mall),-7.7828055,110.4200363
57,Malioboro Mall,Kota Yogyakarta,Pusat perbelanjaan (mall),-7.7931045,110.3669354
58,Plaza Malioboro,Kota Yogyakarta,Pusat perbelanjaan (mall),-7.7930135,110.3660317
59,Galeria Mall Yogyakarta,Kota Yogyakarta,Pusat perbelanjaan (mall),-7.7820956,110.3787874
60,Lippo Plaza Jogja,Kota Yogyakarta,Pusat perbelanjaan (mall),-7.7829,110.3909
61,XT Square Yogyakarta,Kota Yogyakarta,Pusat perbelanjaan/pasar seni,-7.8165805,110.386331
62,Pantai Parangtritis,Kabupaten Bantul,Tempat wisata,-8.0240986,110.3298635
63,Gumuk Pasir Parangkusumo,Kabupaten Bantul,Tempat wisata,-8.0173709,110.3165001
64,Pantai Depok Bantul,Kabupaten Bantul,Tempat wisata,-8.0124145,110.2916437
65,Hutan Pinus Mangunan,Kabupaten Bantul,Tempat wisata,-7.9253212,110.4300395
66,Kebun Buah Mangunan,Kabupaten Bantul,Tempat wisata,-7.9406163,110.4244493
67,Puncak Becici,Kabupaten Bantul,Tempat wisata,-7.9012265,110.436995
68,HeHa Sky View,Kabupaten Gunungkidul,Tempat wisata,-7.8492,110.4789
69,Pantai Baron,Kabupaten Gunungkidul,Tempat wisata,-8.1280827,110.5488145
